season,season_label,team_id,team,conference,games,wins,losses,total_minutes,pace,field_goals_pct,field_goals_attempted,field_goals_made,two_point_field_goals_pct,two_point_field_goals_attempted,two_point_field_goals_made,three_point_field_goals_pct,three_point_field_goals_attempted,three_point_field_goals_made,free_throws_pct,free_throws_attempted,free_throws_made,rebounds_total,rebounds_defensive,rebounds_offensive,turnovers_team_total,turnovers_total,fouls_flagrant,fouls_technical,fouls_total,points_fast_break,points_off_turnovers,points_in_paint,points_total,four_factors_free_throw_rate,four_factors_offensive_rebound_pct,four_factors_turnover_ratio,four_factors_effective_field_goal_pct,opp_field_goals_pct,opp_field_goals_attempted,opp_field_goals_made,opp_two_point_field_goals_pct,opp_two_point_field_goals_attempted,opp_two_point_field_goals_made,opp_three_point_field_goals_pct,opp_three_point_field_goals_attempted,opp_three_point_field_goals_made,opp_free_throws_pct,opp_free_throws_attempted,opp_free_throws_made,opp_rebounds_total,opp_rebounds_defensive,opp_rebounds_offensive,opp_turnovers_team_total,opp_turnovers_total,opp_fouls_flagrant,opp_fouls_technical,opp_fouls_total,opp_points_fast_break,opp_points_off_turnovers,opp_points_in_paint,opp_points_total,opp_four_factors_free_throw_rate,opp_four_factors_offensive_rebound_pct,opp_four_factors_turnover_ratio,opp_four_factors_effective_field_goal_pct,adj_pace,adjoff_assists,adjoff_true_shooting,adjoff_opp_blocks,adjoff_opp_steals,adjoff_field_goals_pct,adjoff_two_point_field_goals_pct,adjoff_three_point_field_goals_pct,adjoff_free_throws_pct,adjoff_rebounds_offensive,adjoff_turnovers_total,adjoff_points_fast_break,adjoff_points_off_turnovers,adjoff_points_in_paint,adjoff_points_per_poss,adjdef_opp_assists,adjdef_opp_true_shooting,adjdef_blocks,adjdef_steals,adjdef_opp_field_goals_pct,adjdef_opp_two_point_field_goals_pct,adjdef_opp_three_point_field_goals_pct,adjdef_opp_free_throws_pct,adjdef_rebounds_defensive,adjdef_opp_turnovers_total,adjdef_opp_points_fast_break,adjdef_opp_points_off_turnovers,adjdef_opp_points_in_paint,adjdef_opp_points_per_poss,adjoff_ppg,adjdef_ppg,OffVoA_MeanRating,OffVoA_MedRating,OffVoA_975PctRating,OffVoA_025PctRating,OffVoA_SD,DefVoA_MeanRating,DefVoA_MedRating,DefVoA_975PctRating,DefVoA_025PctRating,DefVoA_SD,OvrlVoA_MeanRating,OvrlVoA_975pctRating,OvrlVoA_025pctRating,OvrlVoARanking,OffVoARanking,DefVoARanking
2025,20242025,1,Abilene Christian,WAC,32,16,16,1310,66.4,44.4,1845,819,49.4,1362,673,30.2,483,146,71.5,666,476,1083,727,356,14,476,0,9,671,359,581,1164,2260,36.1,32.9,0.22,48.3,44.6,1675,747,51.5,1098,566,31.4,577,181,69.6,825,574,1074,762,312,28,547,0,5,570,306,459,1032,2249,49.3,29.1,0.25,50.0,67.69970033647532,12.546016445348817,53.601831528668804,4.02437663442186,7.880491379071055,43.26015125886511,48.98527186912709,32.54761241945561,70.94438795114895,10.776954363937904,13.60600432412183,10.775448264638769,14.76076137486561,30.144629308209197,1.0137967863239365,12.588380062677157,59.3926068250513,2.796366682584254,8.860860227718646,48.63948347885563,54.02206258570242,36.04309344824041,72.21186986435202,20.84301020816843,15.07414309216131,11.840626369018445,14.709213745452887,33.26896823287118,1.0755993899543368,68.6337386362122,72.81775638200426,70.87430095186029,70.86421982582145,75.12350945550475,66.57796928148444,2.159500250880202,73.38895463034842,73.39255105885323,75.57521026970257,71.20426087290369,1.1122463582989293,-2.5146536784881306,-0.45170081419782093,-4.626291591419246,250,300,146
2025,20242025,2,Air Force,Mountain West,32,4,28,1310,61.1,42.1,1616,680,50.5,833,421,33.1,783,259,63.5,572,363,956,720,236,43,432,0,1,571,174,336,768,1982,35.4,24.7,0.22,50.1,48.1,1758,845,54.8,1121,614,36.3,637,231,70.0,623,436,1096,802,294,17,327,0,3,558,302,535,1108,2357,35.4,26.8,0.16,54.6,66.61373325153282,12.343319414619888,53.03290737630807,3.473184228395833,7.5668978622962255,43.2621891470584,51.31316197427942,31.71493895185017,68.36801870809603,7.831556967247755,14.117555107187773,7.011277602831726,11.229022708006323,29.100835109939663,0.9523843276484024,14.988396294907577,58.783354991865245,2.575332504738882,5.778858820606404,47.8782942402431,55.061386401038725,35.01987322819672,72.21432630055904,22.499979210272485,10.365085492348758,10.854793136368743,16.675685734253957,34.32240263855226,1.1723126798994625,63.441875554911114,78.09212414621238,65.11895193405665,65.1224506174698,69.40243239667865,60.833270850818344,2.1883290630760777,79.13704371633078,79.12229383836561,81.24871562205921,77.0455758638247,1.0718077821681873,-14.018091782274126,-11.84628322538056,-16.21230501300635,362,363,338
2025,20242025,3,Akron,MAC,35,28,7,1415,69.1,46.9,2259,1060,56.0,1222,684,36.3,1037,376,75.4,590,445,1348,934,414,13,414,0,8,623,462,555,1208,2941,26.1,30.7,0.17,55.2,43.3,2157,933,50.3,1333,670,31.9,824,263,71.7,692,496,1225,850,375,16,444,0,3,578,362,419,1140,2625,32.1,30.6,0.18,49.4,69.71478695714355,16.958232324208474,59.77791474088423,3.0444403641240743,6.404162130746344,48.25126598660534,57.11610603282555,35.950482480820966,73.40493646418099,10.985807003099932,11.057810258891934,12.698837803422858,15.75593153116626,35.61439557891002,1.1993662350104193,13.418879481804133,55.43277199278823,2.9952735677052806,7.051849413497159,44.27016080376367,50.62556238526254,34.45447954582233,72.20361805020859,25.244733097202385,12.692294311562724,9.284583223443027,12.461324024356333,30.50925087714442,1.0752355518402719,83.61356155734273,74.95981742529122,81.71384354903797,81.70050362382284,85.94411685075318,77.58900383865783,2.1351272114139594,75.40174203914437,75.39492723970184,77.51514497753442,73.30988384939377,1.0735234744812143,6.312101509893608,8.428971873218757,4.279119989264061,34,12,223
2025,20242025,5,Alabama,SEC,37,28,9,1510,74.5,48.4,2371,1147,59.7,1267,757,35.3,1104,390,72.0,932,671,1567,1108,459,23,469,0,1,702,500,453,1432,3355,39.3,29.3,0.17,56.6,42.6,2523,1074,49.0,1650,809,30.4,873,265,71.0,837,594,1364,902,462,12,382,0,6,759,346,459,1336,3007,33.2,33.9,0.14,47.8,72.82110485513871,15.99200891278353,58.467705501278076,3.6376131568077206,6.5250546042490845,45.19332891015803,55.082156963705515,34.84082461949123,74.96268286077309,12.205442671602324,10.281915880545128,12.530335733537935,12.68532384376406,32.1739902993543,1.198896603565055,13.889103854884132,53.66447228643222,4.644383459903657,6.458579119134204,43.56897026626039,49.52310626313417,33.49706019474401,72.19204294153405,27.318036051305455,9.847947538623307,10.576458765709129,12.297879043913857,36.38040131256929,1.1083859646419856,87.30497527868054,80.7138905511581,83.32191476167145,83.30796514178465,87.65446009976587,79.02004234973451,2.209885192651755,79.08856454458054,79.0979628722633,81.24822186635734,76.94956284028797,1.0929387850331036,4.233350217090916,6.40623823340853,2.0704795094465425,64,3,336
2025,20242025,4,Alabama A&M,SWAC,32,10,22,1320,61.5,40.4,1966,795,46.4,1159,538,31.8,807,257,66.4,738,490,1172,725,447,27,513,0,8,687,428,491,970,2337,37.5,38.1,0.25,47.0,45.9,1816,834,50.3,1141,574,38.5,675,260,69.3,853,591,1198,828,370,40,514,0,6,599,441,555,1040,2521,47.0,30.9,0.25,53.1,67.35213324286326,11.606049514824067,55.185133308939655,3.157116623041329,6.1780132759510575,43.772512428468666,49.01537279851039,34.57129875390036,73.05298998214242,9.515614073364464,11.269893629315407,10.48695225913207,13.125387263216842,28.541262622124062,1.065160321965892,14.256418658728515,56.25806590404798,2.853092182590407,6.304754638706307,45.45585757752878,52.14799625257446,34.64817943599746,72.20921450142369,23.81538280325465,11.302554548257566,12.685231637777752,11.72300535653457,32.153159487365464,1.099989309985699,71.7408199300579,74.08662657188202,71.50282666472629,71.51794769219798,75.74001482236072,67.19612023767539,2.1595676463583797,73.9211008424972,73.92312861490578,76.01318972716489,71.83900848398926,1.0664174020221937,-2.418274177770911,-0.27317490480416495,-4.642888246313873,248,278,168
2025,20242025,6,Alabama State,SWAC,36,20,16,1455,68.3,40.5,2290,927,46.3,1312,607,32.7,978,320,68.6,665,456,1303,886,417,17,327,0,2,662,482,588,1026,2630,29.0,32.0,0.13,47.5,43.7,2044,893,50.6,1228,621,33.3,816,272,69.4,791,549,1426,1038,388,31,474,0,4,577,384,392,1056,2607,38.7,27.2,0.19,50.3,69.71623959611782,12.265233871155612,53.20208392384971,3.7032329853298203,7.161150909130495,42.58614424822357,48.6873759084221,32.99269224281903,70.39725377065342,11.8425121801386,12.573727936632237,12.326530892713297,14.180640889657283,30.332368277258162,1.0401058937208985,13.99840188672467,56.38224555419968,3.740234827054484,7.64559051385644,44.994239056840236,52.33715703091818,33.80821461886063,72.21232339710639,23.587787624463676,13.152830537456532,12.731314619400717,13.89786755661617,32.238976575202926,1.090626371452893,72.51227169198042,76.03436942205448,71.5654581286459,71.54533075472602,75.76432704736928,67.37742469527772,2.1419671596661676,76.15759186000365,76.15544423358301,78.25958929238548,74.08511700486697,1.067474993651619,-4.592133731357748,-2.4952622450162067,-6.707692309589248,300,274,254
2025,20242025,7,Alcorn State,SWAC,32,11,21,1295,62.8,41.1,1833,754,45.0,1295,583,31.8,538,171,71.7,561,402,1077,707,370,29,415,0,7,545,310,421,908,2081,30.6,34.4,0.2,45.8,44.8,1795,805,54.0,986,532,33.7,809,273,72.5,585,424,1090,747,343,21,389,0,4,503,364,498,966,2307,32.6,31.5,0.19,52.5,67.80363031706166,11.913948279547109,53.11363997682636,3.7540621789179185,6.884252213663572,43.04101038038502,48.678586608050566,33.31887426123973,71.5964062049121,9.646096890133734,12.963988800431418,9.9763664781266,13.183504790305674,30.494825946844337,1.0044465540420051,15.206959026084041,57.83576961199259,3.4840215058930264,7.3568445652666945,47.96535990242165,56.187959765865436,33.30759969727416,72.2080876042077,21.44220903268502,12.428314797985147,13.435336353201176,14.946962394003327,37.963085396697025,1.1373437298208868,68.10512282351061,77.11603380020347,66.63394954794487,66.61953622910687,70.84057782433489,62.42095415057049,2.160189083173629,78.44353551137704,78.43213520132565,80.61279233678678,76.33045204971567,1.092580902436953,-11.80958596343217,-9.772214512451896,-13.909497899145187,359,357,322
2025,20242025,8,American University,Patriot,35,22,13,1450,62.3,44.4,1893,840,52.3,1034,541,34.8,859,299,75.4,566,427,1057,787,270,31,389,0,4,626,311,503,966,2406,29.9,25.5,0.17,52.3,45.7,1863,852,52.5,1211,636,33.1,652,216,70.0,643,450,1129,834,295,24,418,0,4,548,244,455,1132,2370,34.5,26.1,0.18,51.5,67.10405249112094,12.749170258042497,55.58506833566239,3.1849574873032966,6.188260907454782,44.20445969341173,52.84385520392499,33.503524168153476,73.45804899883653,9.496454588276515,10.776606127618587,10.005674804102986,13.759674298449966,30.835751919945068,1.0867806832971398,13.555647063710174,57.6445668773606,1.8796438612955748,7.138805719164333,46.801440477305,53.853730901100434,34.14317178800585,72.20992334766703,21.98726375172985,12.5615086087762,8.609310897316789,12.398394742571336,32.147232492884285,1.0909910153399536,72.92738801830755,73.20991836071357,72.4580906127778,72.46747629005577,76.68752337477974,68.28171783267948,2.150250410390939,72.75247268870807,72.74555231038062,74.87012767416552,70.65051804260304,1.077591183337969,-0.29438207593027244,1.8173957006142274,-2.368800209923563,178,243,117
2025,20242025,9,App State,Sun Belt,31,17,14,1255,57.5,43.7,1690,738,50.1,994,498,34.5,696,240,65.1,593,386,1144,841,303,15,335,0,1,414,184,326,906,2102,35.1,26.5,0.19,50.8,39.1,1861,728,45.3,1132,513,29.5,729,215,73.5,407,299,1113,773,340,14,294,0,1,522,188,325,872,1970,21.9,30.5,0.16,44.9,63.71140382299089,11.873005822068794,54.03367765593727,2.9105598554557415,5.4592229738699825,43.55443297645401,53.61725206382722,32.29265962063878,67.54531238088863,11.176331096423036,10.221097007686824,8.670958107799041,11.567869131822835,30.080541163751942,1.085006522439064,12.252319799792144,52.86878247959522,3.411127208303814,5.088715426277958,42.15958267232921,48.45006183382181,33.28883515119268,72.20539043069807,25.62723458592495,9.558447673861634,8.196256036912768,12.256842899904807,27.444606150261407,1.0637519604887757,69.12728870169423,67.77313072219864,72.5434995791577,72.53968483816087,76.82727291914925,68.28505922456661,2.1799052640816674,69.16974166171072,69.1635382454736,71.25946133794348,67.07505299450031,1.0682357361359225,3.37375791744698,5.567811581205774,1.2100062300662984,79,238,25
2025,20242025,11,Arizona,Big 12,37,24,13,1510,68.9,47.4,2268,1076,54.7,1481,810,33.8,787,266,78.0,813,634,1470,1014,456,8,421,0,11,625,509,512,1446,3052,35.8,31.0,0.16,53.3,41.9,2274,953,47.5,1335,634,34.0,939,319,71.7,678,486,1202,810,392,23,426,0,12,659,325,485,1060,2711,29.8,32.6,0.16,48.9,69.28175444370574,16.236493275979626,58.66625310232272,3.655705793137325,6.319040384829801,48.868264109716385,54.50335527440119,35.07635360624374,72.28089917452735,12.472065785333497,11.068471313896382,14.075032744143979,14.447621720460171,41.004009878464686,1.1865889426149925,12.546430395825949,51.04527009020964,4.110291092505325,7.1900614067029505,40.891862910870756,46.650319998586376,32.715290349413486,72.20718675348434,28.596470223992483,11.59155172475936,9.122177920701123,11.826708978935006,27.950423257750344,0.9987589895291276,82.20896374786835,69.19577506100069,81.97663744923109,81.98933365466897,86.25310186331762,77.71767398201554,2.1838252732231043,70.83173398879765,70.83738499984457,72.98564226388017,68.71231834194106,1.0875516175407478,11.14490346043344,13.267459599437458,9.005355640074484,8,8,56
