id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner,home_score,away_score,mean_spread,actual_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
359049,401828263,20252026,2026,regular,2026-03-08T18:00:00.000000,false,false,true,STD,,,scheduled,271,South Florida,5,American,,48,Charlotte,5,American,,337,Yuengling Center,Tampa,FL,6.218026963963467,1.5968675503426653,-7.621159413620802,South Florida,83,60,-17.25,-23,15.378840586379198,5.75,236.50873778126407,33.0625,1,1,0,0
372402,401851566,20252026,2026,regular,2026-03-13T19:30:00.000000,false,true,true,TRNMNT,,SEC Tournament - Quarterfinal,scheduled,336,Vanderbilt,24,SEC,,292,Tennessee,24,SEC,,481,Bridgestone Arena,Nashville,TN,5.987340168227391,11.427033830401555,5.4396936621741645,Tennessee,75,68,1.75,-7,12.439693662174165,8.75,154.74597840873608,76.5625,0,0,0,0
212098,401805215,20252026,2026,regular,2026-03-08T02:00:00.000000,false,false,true,STD,,,scheduled,330,Utah Tech,30,WAC,,332,Utah Valley,30,WAC,,314,Burns Arena,St. George,UT,-1.0668895181804743,6.569384218442067,4.636273736622542,Utah Valley,101,104,8.75,3,1.6362737366225417,5.75,2.677391741160695,33.0625,1,1,1,1
372392,401851394,20252026,2026,regular,2026-03-13T03:30:00.000000,false,true,true,TRNMNT,,Big West Championship - Quarterfinal,scheduled,37,Cal State Fullerton,11,Big West,,307,UC Davis,11,Big West,,264,Lee's Family Forum,Henderson,NV,-6.158693221291131,-0.24323382783687464,5.915459393454256,UC Davis,82,70,-1.5,-12,17.915459393454256,10.5,320.96368527850836,110.25,0,1,0,0
372238,401851548,20252026,2026,regular,2026-03-08T18:00:00.000000,false,false,true,TRNMNT,,Patriot League Championship - Semifinal,scheduled,187,Navy,23,Patriot,,27,Boston University,23,Patriot,,272,Alumni Hall (Navy),Annapolis,MD,8.559288116555265,2.983270252024127,-8.576017864531138,Navy,72,73,-6.5,1,9.576017864531138,7.5,91.7001181418195,56.25,0,0,0,0
372176,401851349,20252026,2026,regular,2026-03-06T23:00:00.000000,false,true,true,TRNMNT,,Big South Championship - Quarterfinal,scheduled,319,UNC Asheville,9,Big South,,147,Longwood,9,Big South,,72,Freedom Hall (TN),Johnson City,TN,-2.434757349336593,-1.1323123731788627,1.3024449761577301,Longwood,85,82,1.5,-3,4.30244497615773,4.5,18.51103277286489,20.25,0,0,1,1
372297,401851495,20252026,2026,regular,2026-03-11T19:00:00.000000,false,true,true,TRNMNT,,Mountain West Championship - 1st Round,scheduled,322,UNLV,20,Mountain West,,358,Wyoming,20,Mountain West,,194,Thomas & Mack Center,Las Vegas,NV,-2.6654090752532227,2.9030419105853014,5.568450985838524,Wyoming,73,70,-2.75,-3,8.568450985838524,0.25,73.41835229671717,0.0625,0,1,0,0
215222,401823787,20252026,2026,regular,2026-03-07T03:00:00.000000,false,false,true,STD,,,scheduled,257,San Diego State,20,Mountain West,,322,UNLV,20,Mountain West,,238,Viejas Arena,San Diego,CA,3.2463432388936866,-2.6654090752532227,-8.91175231414691,San Diego State,89,86,-9.25,-3,5.911752314146909,6.25,34.94881542382134,39.0625,1,1,1,1
372210,401856425,20252026,2026,regular,2026-03-07T23:00:00.000000,false,true,true,TRNMNT,,CAA Championship - 2nd Round,scheduled,301,Towson,12,CAA,,106,Hampton,12,CAA,,476,Entertainment & Sports Arena,Washington,DC,0.6484806477736669,-1.0019555254225025,-1.6504361731961694,Towson,74,68,-7.25,-6,4.349563826803831,1.25,18.918705483440384,1.5625,1,1,1,0
215236,401820576,20252026,2026,regular,2026-03-08T03:00:00.000000,false,false,true,STD,,,scheduled,189,Nevada,20,Mountain West,,2,Air Force,20,Mountain West,,186,Lawlor Events Center,Reno,NV,2.124292404731918,-14.452898466361688,-19.577190871093606,Nevada,74,59,-25.5,-15,4.577190871093606,10.5,20.950676270422644,110.25,1,1,1,1
