id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner
372226,401851488,20252026,2026,regular,2026-03-06T18:00:00.000000,false,true,true,TRNMNT,,MVC Tournament - Quarterfinal,scheduled,22,Belmont,19,MVC,,70,Drake,19,MVC,,436,Enterprise Center,St. Louis,MO,7.199435582798301,-2.7664431698841696,-9.965878752682471,Belmont
372204,401856422,20252026,2026,regular,2026-03-06T19:00:00.000000,false,true,true,TRNMNT,,CAA Championship - 1st Round,scheduled,198,North Carolina A&T,12,CAA,,205,Northeastern,12,CAA,,476,Entertainment & Sports Arena,Washington,DC,-3.97589993327864,-6.771718523741484,-2.7958185904628436,North Carolina A&T
372174,401851348,20252026,2026,regular,2026-03-06T19:30:00.000000,false,true,true,TRNMNT,,Big South Championship - Quarterfinal,scheduled,354,Winthrop,9,Big South,,47,Charleston Southern,9,Big South,,72,Freedom Hall (TN),Johnson City,TN,3.6421141159834605,-0.7782271757216535,-4.420341291705114,Winthrop
372219,401851246,20252026,2026,regular,2026-03-06T19:30:00.000000,false,true,true,TRNMNT,,ASUN Championship - Quarterfinal,scheduled,143,Lipscomb,3,ASUN,,88,Florida Gulf Coast,3,ASUN,,15,VyStar Veterans Memorial Arena,Jacksonville,FL,0.8628964740399283,-2.900454812494516,-3.7633512865344443,Lipscomb
372192,401851489,20252026,2026,regular,2026-03-06T20:30:00.000000,false,true,true,TRNMNT,,MVC Tournament - Quarterfinal,scheduled,184,Murray State,19,MVC,,315,UIC,19,MVC,,436,Enterprise Center,St. Louis,MO,1.3946081499216945,4.090820366713032,2.696212216791338,UIC
372175,401851579,20252026,2026,regular,2026-03-06T22:00:00.000000,false,true,true,TRNMNT,,SoCon Championship - 1st Round,scheduled,49,Chattanooga,26,SoCon,,299,The Citadel,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,-1.3178324185665389,-8.419588417416747,-7.101755998850209,Chattanooga
372220,401851247,20252026,2026,regular,2026-03-06T22:00:00.000000,false,true,true,TRNMNT,,ASUN Championship - Quarterfinal,scheduled,17,Austin Peay,3,ASUN,,283,Stetson,3,ASUN,,15,VyStar Veterans Memorial Arena,Jacksonville,FL,4.033927613260246,-4.343602786116605,-8.377530399376852,Austin Peay
212079,401814602,20252026,2026,regular,2026-03-06T23:00:00.000000,false,false,true,STD,,,scheduled,3,Akron,17,MAC,,208,Northern Illinois,17,MAC,,279,James A. Rhodes Arena,Akron,OH,7.093783424622487,-6.421179135037761,-16.514962559660248,Akron
372176,401851349,20252026,2026,regular,2026-03-06T23:00:00.000000,false,true,true,TRNMNT,,Big South Championship - Quarterfinal,scheduled,319,UNC Asheville,9,Big South,,147,Longwood,9,Big South,,72,Freedom Hall (TN),Johnson City,TN,-2.434757349336593,-1.1323123731788627,1.3024449761577301,Longwood
372227,401851700,20252026,2026,regular,2026-03-06T23:00:00.000000,false,true,true,TRNMNT,,Sun Belt Championship - 4th Round,scheduled,297,Texas State,29,Sun Belt,,275,Southern Miss,29,Sun Belt,,475,Pensacola Bay Center,Pensacola,FL,0.6261354900685063,-0.4766166935177125,-1.1027521835862188,Texas State
372228,401851457,20252026,2026,regular,2026-03-06T23:00:00.000000,false,true,true,TRNMNT,,MAAC Championship - Quarterfinal,scheduled,166,Merrimack,16,MAAC,,250,Sacred Heart,16,MAAC,,478,Jim Whelan Boardwalk Hall,Atlantic City,NJ,5.109659431576716,-0.6269830748127703,-5.736642506389487,Merrimack
212083,401814598,20252026,2026,regular,2026-03-06T23:30:00.000000,false,false,true,STD,,,scheduled,79,Eastern Michigan,17,MAC,,28,Bowling Green,17,MAC,,265,Gervin GameAbove Center,Ypsilanti,MI,-4.26285409131178,0.9450739403922057,2.207928031703986,Bowling Green
359037,401828462,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,64,Dayton,1,A-10,,333,VCU,1,A-10,,76,UD Arena,Dayton,OH,4.275708008401651,7.219211829430776,-0.056496178970874666,Dayton
212084,401818565,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,30,Brown,15,Ivy,,227,Pennsylvania,15,Ivy,,319,Pizzitola Sports Center,Providence,RI,-2.8970972531002275,-1.3442619579109305,-1.447164704810703,Brown
212078,401814603,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,134,Kent State,17,MAC,,351,Western Michigan,17,MAC,,277,M.A.C. Center,Kent,OH,0.9066498231715343,-5.8481279016843075,-9.754777724855842,Kent State
212081,401814600,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,19,Ball State,17,MAC,,45,Central Michigan,17,MAC,,269,Worthen Arena,Muncie,IN,-4.233136033262298,-3.4376215486976633,-2.2044855154353655,Ball State
212082,401814599,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,300,Toledo,17,MAC,,33,Buffalo,17,MAC,,345,Savage Arena,Toledo,OH,-0.24027795077429914,1.4927141542531643,-1.2670078949725365,Toledo
212107,401812624,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,107,Harvard,15,Ivy,,58,Columbia,15,Ivy,,29,Lavietes Pavilion,Cambridge,MA,4.933029514139108,0.8471342703790157,-7.085895243760092,Harvard
372177,401851621,20252026,2026,regular,2026-03-07T00:00:00.000000,false,true,true,TRNMNT,,Summit League Championship - Quarterfinal,scheduled,269,South Dakota,28,Summit,,221,Omaha,28,Summit,,477,Denny Sanford Premier Center,Sioux Falls,SD,-3.264486283122494,-3.1125488566116672,0.15193742651082687,Omaha
372229,401851490,20252026,2026,regular,2026-03-07T00:00:00.000000,false,true,true,TRNMNT,,MVC Tournament - Quarterfinal,scheduled,29,Bradley,19,MVC,,335,Valparaiso,19,MVC,,436,Enterprise Center,St. Louis,MO,-0.9298328465345094,-1.68386021238463,-0.7540273658501206,Bradley
372178,401851580,20252026,2026,regular,2026-03-07T00:30:00.000000,false,true,true,TRNMNT,,SoCon Championship - 1st Round,scheduled,320,UNC Greensboro,26,SoCon,,334,VMI,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,-4.92883316616998,-10.662381527567703,-5.733548361397723,UNC Greensboro
